drugId,targetId,smiles,prefName
CHEMBL163,ENSG00000160868,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,RITONAVIR
CHEMBL163,ENSG00000160870,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,RITONAVIR
CHEMBL1637,ENSG00000014138,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,GEMCITABINE HYDROCHLORIDE
CHEMBL1637,ENSG00000062822,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,GEMCITABINE HYDROCHLORIDE
CHEMBL1637,ENSG00000077514,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,GEMCITABINE HYDROCHLORIDE
CHEMBL1637,ENSG00000100479,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,GEMCITABINE HYDROCHLORIDE
CHEMBL1637,ENSG00000101868,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,GEMCITABINE HYDROCHLORIDE
CHEMBL1637,ENSG00000106628,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,GEMCITABINE HYDROCHLORIDE
CHEMBL1637,ENSG00000146143,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,GEMCITABINE HYDROCHLORIDE
CHEMBL1637,ENSG00000148229,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,GEMCITABINE HYDROCHLORIDE
CHEMBL1637,ENSG00000167325,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,GEMCITABINE HYDROCHLORIDE
CHEMBL1637,ENSG00000175482,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,GEMCITABINE HYDROCHLORIDE
CHEMBL1637,ENSG00000177084,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,GEMCITABINE HYDROCHLORIDE
CHEMBL1637,ENSG00000198056,Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,GEMCITABINE HYDROCHLORIDE
