drugId,targetId,smiles,prefName
CHEMBL483254,ENSG00000171720,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,PANOBINOSTAT
CHEMBL483254,ENSG00000196591,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,PANOBINOSTAT
CHEMBL49080,ENSG00000169252,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,CLENBUTEROL
CHEMBL499,ENSG00000169252,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,TIMOLOL
CHEMBL500,ENSG00000169252,CC(C)NCC(O)COc1cccc2[nH]ccc12,PINDOLOL
CHEMBL503,ENSG00000113161,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,LOVASTATIN
CHEMBL505,ENSG00000196639,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,CHLORPHENIRAMINE
CHEMBL509,ENSG00000073756,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,MECLOFENAMIC ACID
CHEMBL511,ENSG00000196639,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,PYRILAMINE
CHEMBL516,ENSG00000196639,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,CYPROHEPTADINE
CHEMBL517,ENSG00000169432,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,DISOPYRAMIDE
CHEMBL521,ENSG00000073756,CC(C)Cc1ccc(C(C)C(=O)O)cc1,IBUPROFEN
CHEMBL521606,ENSG00000169252,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,NADOLOL
CHEMBL521686,ENSG00000143799,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,OLAPARIB
CHEMBL524004,ENSG00000133019,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,MEPENZOLATE
CHEMBL524004,ENSG00000168539,C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,MEPENZOLATE
CHEMBL534,ENSG00000196639,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,KETOTIFEN
CHEMBL53418,ENSG00000186350,O=C1c2cccc(O)c2C(=O)c2c(O)cccc21,DANTHRON
CHEMBL53463,ENSG00000131747,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,DOXORUBICIN
CHEMBL535,ENSG00000037280,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,SUNITINIB
CHEMBL535,ENSG00000102755,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,SUNITINIB
CHEMBL535,ENSG00000113721,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,SUNITINIB
CHEMBL535,ENSG00000122025,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,SUNITINIB
CHEMBL535,ENSG00000128052,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,SUNITINIB
CHEMBL535,ENSG00000134853,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,SUNITINIB
CHEMBL535,ENSG00000157404,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,SUNITINIB
CHEMBL535,ENSG00000165731,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,SUNITINIB
