gene_symbol
61E3.4
A2M
AAK1
AARS
AATF
AATK
ABAT
ABCA1
ABCA3
ABCA5
ABCB1
ABCB4
ABCB5
ABCB6
ABCB7
ABCC1
ABCC10
ABCC2
ABCC3
ABCC4
ABCC5
ABCC8
ABCC9
ABCD3
ABCF1
ABCF2
ABCF3
ABCG2
ABCG5
ABCG8
ABHD2
ABHD4
ABHD6
ABL1
ABL1_G2A
ABL1_T315I
ABL2
ABTB1
ACAA1
ACACA
ACACB
ACAD8
ACADM
ACADS
ACADSB
ACAT1
ACAT2
ACBD3
ACD
ACE
ACHE
ACLY
ACO2
ACOT9
ACSL1
ACSL3
ACSL4
ACSL6
ACTB
ACTN1
ACTR2
ACTR3
ACVR1
ACVR1B
ACVR1C
ACVR2A
ACVR2B
ACVRL1
ACY1
ADA
ADAM10
ADAM15
ADAM17
ADAP2
ADAR
ADAT1
ADC
ADCK1
ADCK2
ADCK3
ADCK4
ADCK5
ADCY3
ADCY5
ADCY9
ADH5
ADH6
ADI1
ADK
ADM
ADNP2
ADO
ADORA2A
ADORA2B
ADPGK
ADRA1A
ADRA2A
ADRA2C
ADRB1
ADRB2
ADRBK1
ADRBK2
ADSL
ADSS
AES
AFF1
AFF4
AFG3L2
AFP
AGK
AGL
AGPAT1
AGPAT2
AGT
AGTR1
AHCY
AHDC1
AHR
AHRR
AHSG
AIFM1
AIM2
AIMP1
AIMP2
AIP
AIRE
AK1
AK2
AK3
AK4
AK5
AK7
AK8
AKAP1
AKAP11
AKAP13
AKAP17A
AKAP8
AKAP8L
AKAP9
AKR1A1
AKR1B1
AKR1C1
AKR1C2
AKR1C3
AKR7A2
AKT1
AKT1S1
AKT2
AKT3
AKTIP
ALAD
ALAS1
ALAS2
ALB
ALDH18A1
ALDH1A1
ALDH1A3
ALDH1B1
ALDH2
ALDH3A1
ALDH3A2
ALDH3B1
ALDH3B2
ALDH4A1
ALDH5A1
ALDH6A1
ALDH7A1
ALDH9A1
ALDOA
ALDOC
ALG5
ALG9
ALK
ALK_F1174L
ALK_R1275Q
ALK_T1151M
ALMS1
ALOX5
ALPK1
ALPK2
ALPK3
ALS2CR7
ALX1
AMBP
AMD1
AMDHD2
AMHR2
AMIGO3
AMPD2
AMT
ANAPC2
ANAPC5
ANG
ANGPT1
ANGPT2
ANGPT4
ANKK1
ANKRD10
ANKRD37
ANKRD49
ANKRD55
ANKZF1
ANO1
ANO10
ANP32E
ANPEP
ANXA1
ANXA2
ANXA3
ANXA5
ANXA7
AOC3
AP1B1
AP1S2
AP2A1
AP2A2
AP2M1
AP4S1
APAF1
APBB2
APC
APCS
APEH
APEX1
APLN
APOA1
APOA2
APOA4
APOA5
APOB
APOBEC3H
APOC2
APOC3
APOE
APOH
APOM
APOO
APP
APPBP2
APRT
AQP12A
AR
ARAF
ARAP1
AREG
ARF1
ARF4
ARF6
ARFIP2
ARFRP1
ARG1
ARG2
ARGLU1
ARHGAP1
ARHGAP35
ARHGAP9
ARHGDIB
ARHGEF11
ARHGEF12
ARHGEF19
ARHGEF2
ARHGEF3
ARHGEF5
ARHGEF6
ARHGEF7
ARHGEF9
ARID3A
ARID4B
ARID5B
ARIH1
ARL1
ARL3
ARL4C
ARMC5
ARNT
ARNT2
ARNTL
ARNTL2
ARPC1A
ARPC1B
ARPC2
ARPC3
ARPC4
ARPC5
ARPP19
ARRB1
ARSG
ARTN
ARX
ASAH1
ASAP2
ASCC3
ASCL2
ASCL4
ASF1A
ASF1B
ASGR2
ASH2L
ASL
ASMTL
ASNA1
ASNS
ASPH
ASPHD1
ASPM
ASRGL1
ASS1
ATF1
ATF2
ATF3
ATF4
ATF5
ATF6
ATF6B
ATG12
ATG16L1
ATG16L2
ATG3
ATG4A
ATG4B
ATG4D
ATG5
ATG7
ATIC
ATM
ATMIN
ATOH1
ATOX1
ATP11B
ATP1A1
ATP1A2
ATP1A3
ATP1B1
ATP2A2
ATP2C1
ATP4A
ATP5A1
ATP5B
ATP5C1
ATP5D
ATP5F1
ATP5G1
ATP5H
ATP5L
ATP5O
ATP5S
ATP6AP1
ATP6V0A1
ATP6V0B
ATP6V0C
ATP6V1A
ATP6V1D
ATP6V1F
ATP7A
ATR
ATRX
ATXN1
ATXN3
AURKA
AURKAIP1
AURKB
AURKC
AVP
AXIN1
AXIN2
AXL
AZGP1
AZI2
B2M
B3GAT3
B3GNT1
B4GALNT1
B4GALT1
B4GALT3
B4GALT4
BACE1
BACE2
BACH1
BACH2
BAD
BAG1
BAG3
BAG6
BAK1
BAMBI
BARX1
BATF
BATF3
BAX
BAZ1B
BAZ2B
BBC3
BBS9
BCAR1
BCAT1
BCAT2
BCCIP
BCKDHA
BCKDK
BCL10
BCL2
BCL2A1
BCL2L1
BCL2L11
BCL2L13
BCL2L2
BCL3
BCL6
BCL6B
BCL7B
BCL9
BCL9L
BCLAF1
BCR
BCR-ABL
BCR-ABL_E236K
BCR-ABL_E279K
BCR-ABL_E281K
BCR-ABL_E282D
BCR-ABL_E292Q
BCR-ABL_E316D
BCR-ABL_E494A
BCR-ABL_G250E
BCR-ABL_H396R
BCR-ABL_I502M
BCR-ABL_K271N
BCR-ABL_M244I
BCR-ABL_N374S
BCR-ABL_Q252H
BCR-ABL_V339A
BCR-ABL_Y440C
BDH1
BDKRB2
BDNF
BECN1
BEND5
BFGF
BGLAP
BHLHE40
BHMT
BHMT2
BID
BIK
BIRC2
BIRC3
BIRC5
BIRC6
BLCAP
BLK
BLM
BLMH
BLNK
BLOC1S1
BLVRA
BLVRB
BLZF1
BMI1
BMP10
BMP11
BMP13
BMP2
BMP2K
BMP2KL
BMP4
BMP6
BMP7
BMPR1A
BMPR1B
BMPR2
BMX
BNGF
BNIP1
BNIP2
BNIP3
BNIP3L
BNIPL
BOLA1
BPHL
BRAF
BRAF_A727V
BRAF_D594V
BRAF_E586K
BRAF_G464V
BRAF_G466A
BRAF_G469A
BRAF_G596R
BRAF_K601E
BRAF_V600E
BRAP
BRCA1
BRCA2
BRD1
BRD2
BRD3
BRD4
BRD8
BRDT
BRF2
BRMS1L
BRP44
BRPF1
BRPF3
BRSK1
BRSK2
BTBD12
BTBD3
BTC
BTG1
BTG2
BTG3
BTK
BTRC
BUB1
BUB1B
BUB3
BUD13
BUD31
BZW2
C10ORF26
C12ORF51
C14ORF181
C15ORF42
C16ORF5
C16ORF80
C17ORF49
C17ORF75
C19ORF10
C19ORF35
C19ORF6
C1ORF106
C1ORF9
C1QA
C1QBP
C1QTNF6
C1S
