pert_id,pert_iname,pert_type
TRCN0000196420,MELK,trt_sh
TRCN0000199147,MELK,trt_sh
TRCN0000280031,MELK,trt_sh
TRCN0000280098,MELK,trt_sh
TRCN0000297346,MELK,trt_sh
TRCN0000049183,MPI,trt_sh
TRCN0000049185,MPI,trt_sh
TRCN0000049187,MPI,trt_sh
TRCN0000365207,MPI,trt_sh
TRCN0000365209,MPI,trt_sh
TRCN0000365267,MPI,trt_sh
TRCN0000365269,MPI,trt_sh
TRCN0000370334,MPI,trt_sh
TRCN0000377572,MPI,trt_sh
TRCN0000003107,MST1R,trt_sh
TRCN0000121148,MST1R,trt_sh
TRCN0000121150,MST1R,trt_sh
TRCN0000121151,MST1R,trt_sh
TRCN0000121252,MST1R,trt_sh
TRCN0000121253,MST1R,trt_sh
TRCN0000121254,MST1R,trt_sh
TRCN0000121255,MST1R,trt_sh
TRCN0000121256,MST1R,trt_sh
TRCN0000199246,MST1R,trt_sh
TRCN0000199467,MST1R,trt_sh
TRCN0000199886,MST1R,trt_sh
TRCN0000315066,MST1R,trt_sh
TRCN0000122226,NDUFAF4,trt_sh
TRCN0000139262,NDUFAF4,trt_sh
TRCN0000139881,NDUFAF4,trt_sh
TRCN0000140034,NDUFAF4,trt_sh
TRCN0000143460,NDUFAF4,trt_sh
TRCN0000144078,NDUFAF4,trt_sh
TRCN0000144211,NDUFAF4,trt_sh
TRCN0000144305,NDUFAF4,trt_sh
TRCN0000144977,NDUFAF4,trt_sh
TRCN0000343058,NDUFAF4,trt_sh
TRCN0000343059,NDUFAF4,trt_sh
TRCN0000061119,NPTN,trt_sh
TRCN0000061120,NPTN,trt_sh
TRCN0000061121,NPTN,trt_sh
TRCN0000061122,NPTN,trt_sh
TRCN0000331095,NPTN,trt_sh
TRCN0000331165,NPTN,trt_sh
TRCN0000344927,NPTN,trt_sh
TRCN0000052073,NUDT5,trt_sh
TRCN0000052076,NUDT5,trt_sh
TRCN0000052077,NUDT5,trt_sh
TRCN0000218277,NUDT5,trt_sh
TRCN0000229842,NUDT5,trt_sh
TRCN0000229843,NUDT5,trt_sh
TRCN0000229844,NUDT5,trt_sh
TRCN0000262675,NUDT5,trt_sh
TRCN0000262676,NUDT5,trt_sh
TRCN0000262677,NUDT5,trt_sh
TRCN0000007937,PARP2,trt_sh
TRCN0000006178,PGK1,trt_sh
TRCN0000006182,PGK1,trt_sh
TRCN0000195079,PGK1,trt_sh
TRCN0000195247,PGK1,trt_sh
TRCN0000196454,PGK1,trt_sh
TRCN0000196810,PGK1,trt_sh
TRCN0000197075,PGK1,trt_sh
TRCN0000342769,PGK1,trt_sh
TRCN0000052748,PHACTR1,trt_sh
TRCN0000052750,PHACTR1,trt_sh
TRCN0000052751,PHACTR1,trt_sh
TRCN0000262577,PHACTR1,trt_sh
TRCN0000262578,PHACTR1,trt_sh
TRCN0000262579,PHACTR1,trt_sh
TRCN0000262580,PHACTR1,trt_sh
TRCN0000262581,PHACTR1,trt_sh
