diseaseId,diseaseName,drugId,smiles,prefName,targets
EFO_0004289,lymphoid leukemia,CHEMBL803,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,CYTARABINE,ENSG00000014138|ENSG00000062822|ENSG00000077514|ENSG00000100479|ENSG00000101868|ENSG00000106628|ENSG00000146143|ENSG00000148229|ENSG00000175482|ENSG00000177084|ENSG00000198056
EFO_1000045,pancreatic neuroendocrine tumor,CHEMBL1908360,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,EVEROLIMUS,ENSG00000088832
EFO_1000045,pancreatic neuroendocrine tumor,CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,SUNITINIB,ENSG00000037280|ENSG00000102755|ENSG00000113721|ENSG00000122025|ENSG00000128052|ENSG00000134853|ENSG00000157404|ENSG00000165731|ENSG00000182578
EFO_1001012,leptomeningeal metastasis,CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,METHOTREXATE,ENSG00000228716
EFO_1001012,leptomeningeal metastasis,CHEMBL803,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,CYTARABINE,ENSG00000014138|ENSG00000062822|ENSG00000077514|ENSG00000100479|ENSG00000101868|ENSG00000106628|ENSG00000146143|ENSG00000148229|ENSG00000175482|ENSG00000177084|ENSG00000198056
EFO_1001051,mycosis fungoides,CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,METHOTREXATE,ENSG00000228716
EFO_1001051,mycosis fungoides,CHEMBL384467,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,DEXAMETHASONE,ENSG00000113580
EFO_1001469,Mantle cell lymphoma,CHEMBL325041,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,BORTEZOMIB,ENSG00000100804
EFO_1001469,Mantle cell lymphoma,CHEMBL848,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,LENALIDOMIDE,ENSG00000100387|ENSG00000113851|ENSG00000139842|ENSG00000167986
MONDO_0015760,T-cell non-Hodgkin lymphoma,CHEMBL408513,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,BELINOSTAT,ENSG00000048052|ENSG00000061273|ENSG00000068024|ENSG00000094631|ENSG00000100429|ENSG00000108840|ENSG00000116478|ENSG00000147099|ENSG00000163517|ENSG00000171720|ENSG00000196591
MONDO_0015760,T-cell non-Hodgkin lymphoma,CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO,VORINOSTAT,ENSG00000094631|ENSG00000116478|ENSG00000171720|ENSG00000196591
